S.No,PROVINCE ,DIVISION,DISTRICT ,TEHSIL ,TEHSIL - CODE,UC  CODE,UC NO,UC NAME,LATITUDE,LONGITUDE,UC_UR,LOCALITIES_NO,VILLAGE NO,VILLAGE CODE,VILLAGES
6401,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511112,2,MALAR,26.323594,64.8767099,Rural,40,11,51111211,WARD NO 3 KAHAN MALAR
6402,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511112,2,MALAR,26.323594,64.8767099,Rural,40,10,51111210,WARD NO 3 JOI ATTA MUHAMMAD
6403,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511112,2,MALAR,26.323594,64.8767099,Rural,40,9,5111129,WARD NO 2 BAZDAD II
6404,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511112,2,MALAR,26.323594,64.8767099,Rural,40,8,5111128,WARD NO 2 BAZDAD I
6405,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511112,2,MALAR,26.323594,64.8767099,Rural,40,7,5111127,WARD NO 1 PAHOOIII
6406,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511112,2,MALAR,26.323594,64.8767099,Rural,40,6,5111126,WARD NO 1 PAHOO II
6407,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511112,2,MALAR,26.323594,64.8767099,Rural,40,5,5111125,WARD NO 1 PAHOO I
6408,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511112,2,MALAR,26.323594,64.8767099,Rural,40,4,5111124,WARD NO 1 MASHOD
6409,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511112,2,MALAR,26.323594,64.8767099,Rural,40,3,5111123,WARD NO 1 DURASKIDOT
6410,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511112,2,MALAR,26.323594,64.8767099,Rural,40,2,5111122,WARD NO 1 DURASKI NO I
6411,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511112,2,MALAR,26.323594,64.8767099,Rural,40,1,5111121,WARD NO 1 BAZDADIII
6415,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511113,3,MC AWARAN,26.456868,65.23111,Rural,43,43,51111343,WARD NO9 SARFRAZ BAZAR
6417,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511113,3,MC AWARAN,26.456868,65.23111,Rural,43,42,51111342,WARD NO9 NIABAT
6418,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511113,3,MC AWARAN,26.456868,65.23111,Rural,43,41,51111341,WARD NO9 HAR BAZAR-II
6421,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511113,3,MC AWARAN,26.456868,65.23111,Rural,43,40,51111340,WARD NO8 MUHAMMAD HASSAN BAZAR MASHI
6424,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511113,3,MC AWARAN,26.456868,65.23111,Rural,43,39,51111339,WARD NO8 GHULAM RASOOL BAZAR MASHI
6426,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511113,3,MC AWARAN,26.456868,65.23111,Rural,43,38,51111338,WARD NO8 CHAMGO
6427,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511113,3,MC AWARAN,26.456868,65.23111,Rural,43,37,51111337,WARD NO7 TERTAG-I
6428,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511113,3,MC AWARAN,26.456868,65.23111,Rural,43,36,51111336,WARD NO7 TERTAG -II
6433,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511113,3,MC AWARAN,26.456868,65.23111,Rural,43,35,51111335,WARD NO7 SIAH GAZI
6435,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511113,3,MC AWARAN,26.456868,65.23111,Rural,43,34,51111334,WARD NO7 QASMI JO
6438,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511113,3,MC AWARAN,26.456868,65.23111,Rural,43,33,51111333,WARD NO7 KHUDA ABAD / GUL ABAD
6440,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511113,3,MC AWARAN,26.456868,65.23111,Rural,43,32,51111332,WARD NO7 JOE QASIM
6441,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511113,3,MC AWARAN,26.456868,65.23111,Rural,43,31,51111331,WARD NO7  TERTAJ-III
6445,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511113,3,MC AWARAN,26.456868,65.23111,Rural,43,30,51111330,WARD NO6 SHAGANZI
6447,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511113,3,MC AWARAN,26.456868,65.23111,Rural,43,29,51111329,WARD NO6 REKEN
6448,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511113,3,MC AWARAN,26.456868,65.23111,Rural,43,28,51111328,WARD NO6 KEHENZEELAG
6450,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511113,3,MC AWARAN,26.456868,65.23111,Rural,43,27,51111327,WARD NO6 KALLARO
6453,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511113,3,MC AWARAN,26.456868,65.23111,Rural,43,26,51111326,WARD NO6 JOE QADIR DAD
6455,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511113,3,MC AWARAN,26.456868,65.23111,Rural,43,25,51111325,WARD NO6 JOE ALAM KHAN
6457,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511113,3,MC AWARAN,26.456868,65.23111,Rural,43,24,51111324,WARD NO5 CHEDEGI
6460,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511113,3,MC AWARAN,26.456868,65.23111,Rural,43,23,51111323,WARD NO5 BEDI
6463,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511113,3,MC AWARAN,26.456868,65.23111,Rural,43,22,51111322,WARD NO4 BEDI LAL MUHAMMAD
6465,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511113,3,MC AWARAN,26.456868,65.23111,Rural,43,21,51111321,WARD NO4 BAIDI-I
6467,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511113,3,MC AWARAN,26.456868,65.23111,Rural,43,20,51111320,WARD NO4 BAIDI SURAB
6469,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511113,3,MC AWARAN,26.456868,65.23111,Rural,43,19,51111319,WARD NO4 BAIDE QAMBRO
6472,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511113,3,MC AWARAN,26.456868,65.23111,Rural,43,18,51111318,WARD NO3 PIRANDAR SHARKI NADGO
6474,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511113,3,MC AWARAN,26.456868,65.23111,Rural,43,17,51111317,WARD NO3 KALLAG BARITH
6478,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511113,3,MC AWARAN,26.456868,65.23111,Rural,43,16,51111316,WARD NO2 PIRANDAR SHARKI HASSAN GOT
6479,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511113,3,MC AWARAN,26.456868,65.23111,Rural,43,15,51111315,WARD NO2 PIRANDAR SHARKI GAZZI
6480,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511113,3,MC AWARAN,26.456868,65.23111,Rural,43,14,51111314,WARD NO2 PIRANDAR GHARBI LIAQAT ABAD
6481,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511113,3,MC AWARAN,26.456868,65.23111,Rural,43,13,51111313,WARD NO1JHAKARO
6483,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511113,3,MC AWARAN,26.456868,65.23111,Rural,43,12,51111312,WARD NO11 SAHIB DAD BAZAR
6486,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511113,3,MC AWARAN,26.456868,65.23111,Rural,43,11,51111311,WARD NO11 KHAN MUHAMMAD BAZAR
6488,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511113,3,MC AWARAN,26.456868,65.23111,Rural,43,10,51111310,WARD NO11 JADO BAZAR
6490,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511113,3,MC AWARAN,26.456868,65.23111,Rural,43,9,5111139,WARD NO11 DANSER LABACH
6492,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511113,3,MC AWARAN,26.456868,65.23111,Rural,43,8,5111138,WARD NO11 BARKAT BAZAR
6494,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511113,3,MC AWARAN,26.456868,65.23111,Rural,43,7,5111137,WARD NO10 HAR BAZAR
6496,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511113,3,MC AWARAN,26.456868,65.23111,Rural,43,6,5111136,WARD NO1 ZEELAG
6499,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511113,3,MC AWARAN,26.456868,65.23111,Rural,43,5,5111135,WARD NO1 PIRANDAR GHARBI MISKAN BAZAR
6501,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511113,3,MC AWARAN,26.456868,65.23111,Rural,43,4,5111134,WARD NO1 KALLAG CHAKOLI
6514,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511113,3,MC AWARAN,26.456868,65.23111,Rural,43,3,5111133,WARD NO 6 SOOMARI BHANT
6531,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511113,3,MC AWARAN,26.456868,65.23111,Rural,43,2,5111132,WARD NO 11 MUSA BAZAR
6539,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511113,3,MC AWARAN,26.456868,65.23111,Rural,43,1,5111131,WARD NO 1 JOHAY QANDAR
339.00,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511114,4,JAHOO,,,Rural,1,1,5111141,JAHOO
6542,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,GISHKORE TEHSIL,5114,511411,1,GISHKORE,26.2467213,64.7361463,Rural,35,35,51141135,WARD NO9 SEHER-II
6543,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,GISHKORE TEHSIL,5114,511411,1,GISHKORE,26.2467213,64.7361463,Rural,35,34,51141134,WARD NO9 SEHER-I
