PROVINCE,DIVISION,DISTRICT,TEHSIL,TEHSIL CODE,UC,UC OFFICIAL,UC_UR,UC NUMBER,UC_Code,LATITUDE,LONGITUDE,NUMBER OF VILLAGES,V.NO,V.CODE,VILLAGE NAME
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.3 NoorPur Shahan,UC No.3 NoorPur Shahan,2,30,6111230,33.73930920,73.09661070,2,1,61112301,MNO
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.30 Mohra Noor,UC No.30 Mohra Noor,2,31,6111231,33.69278183,73.15945068,1,1,61112311,UC No.30 Mohra Noor
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.31 Rawal Town,UC No.31 Rawal Town,2,32,6111232,33.68721190,73.11425890,3,3,61112323,RAWAL TOWN
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.31 Rawal Town,UC No.31 Rawal Town,2,32,6111232,33.68721190,73.11425890,3,2,61112322,MARGALA TOWN
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.31 Rawal Town,UC No.31 Rawal Town,2,32,6111232,33.68721190,73.11425890,3,1,61112321,OJREE VILLAGE
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.32 Margala Town,UC No.32 Margala Town,2,33,6111233,33.67266213,73.1065671,1,1,61112331,UC No.32 Margala Town
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.33 F-6/1 & 4,UC No.33 F-6/1 & 4,2,34,6111234,33.72380620,73.06846450,4,4,61112344,F6/1
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.33 F-6/1 & 4,UC No.33 F-6/1 & 4,2,34,6111234,33.72380620,73.06846450,4,3,61112343,F6/2
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.33 F-6/1 & 4,UC No.33 F-6/1 & 4,2,34,6111234,33.72380620,73.06846450,4,2,61112342,F6/3
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.33 F-6/1 & 4,UC No.33 F-6/1 & 4,2,34,6111234,33.72380620,73.06846450,4,1,61112341,F6/4
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.34 F-6/2&3,UC No.34 F-6/2&3,2,35,6111235,33.73060056,73.06937777,1,1,61112351,UC No.34 F-6/2&3
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,"UC No.35 G-6/2,","UC No.35 G-6/2,",2,36,6111236,33.71811571,73.08049424,1,1,61112361,"UC No.35 G-6/2,"
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,"UC No.36 G-6/1-3, & 4","UC No.36 G-6/1-3, & 4",2,37,6111237,33.71157040,73.09619250,4,4,61112374,G-6/1
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,"UC No.36 G-6/1-3, & 4","UC No.36 G-6/1-3, & 4",2,37,6111237,33.71157040,73.09619250,4,3,61112373,G-6/2
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,"UC No.36 G-6/1-3, & 4","UC No.36 G-6/1-3, & 4",2,37,6111237,33.71157040,73.09619250,4,2,61112372,G-6/3
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,"UC No.36 G-6/1-3, & 4","UC No.36 G-6/1-3, & 4",2,37,6111237,33.71157040,73.09619250,4,1,61112371,G-6/4
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.37 G-6/1-1 & 2,UC No.37 G-6/1-1 & 2,2,38,6111238,33.71316018,73.08221094,1,1,61112381,UC No.37 G-6/1-1 & 2
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.38 E-8,UC No.38 E-8,2,39,6111239,33.72344440,73.03905950,1,1,61112391,UC No.38 E-8
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.39 E-9,UC No.39 E-9,2,40,6111240,33.71746622,73.01251942,1,1,61112401,UC No.39 E-9
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.4 Malpur,UC No.4 Malpur,2,41,6111241,33.72728136,73.15233641,1,1,61112411,UC No.4 Malpur
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.40 F-7,UC No.40 F-7,2,42,6111242,33.72771050,73.05823750,4,4,61112424,F7/1
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.40 F-7,UC No.40 F-7,2,42,6111242,33.72771050,73.05823750,4,3,61112423,F7/2
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.40 F-7,UC No.40 F-7,2,42,6111242,33.72771050,73.05823750,4,2,61112422,F7/3
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.40 F-7,UC No.40 F-7,2,42,6111242,33.72771050,73.05823750,4,1,61112421,F7/4
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.41 F-8,UC No.41 F-8,2,43,6111243,33.71316018,73.08221094,1,1,61112431,UC No.41 F-8
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.42 F-10/3 &2,UC No.42 F-10/3 &2,2,44,6111244,33.72728136,73.15233641,1,1,61112441,UC No.42 F-10/3 &2
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.43 F-10,UC No.43 F-10,2,45,6111245,33.73936370,73.09681560,2,2,61112452,JKL
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.43 F-10,UC No.43 F-10,2,45,6111245,33.73936370,73.09681560,2,1,61112451,NMO
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.44 F-11,UC No.44 F-11,2,46,6111246,33.68811992,72.98780764,1,1,61112461,UC No.44 F-11
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.45 G-7/3-3 & 4,UC No.45 G-7/3-3 & 4,2,47,6111247,33.71258829,73.07102389,1,1,61112471,UC No.45 G-7/3-3 & 4
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.46 G-7/3-1 & 2,UC No.46 G-7/3-1 & 2,2,48,6111248,33.70964167,73.07006323,1,1,61112481,UC No.46 G-7/3-1 & 2
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.47 G-7/ 4,UC No.47 G-7/ 4,2,49,6111249,33.70650004,73.0738827,1,1,61112491,UC No.47 G-7/ 4
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.48 G-7/2,UC No.48 G-7/2,2,50,6111250,33.70632144,73.06113544,1,1,61112501,UC No.48 G-7/2
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.49 G-7/1,UC No.49 G-7/1,2,51,6111251,33.69837075,73.06612751,1,1,61112511,UC No.49 G-7/1
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.5 Kot Hathial(north-I),UC No.5 Kot Hathial(north-I),2,52,6111252,33.74692894,73.17716195,1,1,61112521,UC No.5 Kot Hathial(north-I)
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.50 G-8/4,UC No.50 G-8/4,2,53,6111253,33.69632824,73.05575359,1,1,61112531,UC No.50 G-8/4
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.51 G-8/2,UC No.51 G-8/2,2,54,6111254,33.69740512,73.04502408,1,1,61112541,UC No.51 G-8/2
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.52 G-8/1,UC No.52 G-8/1,2,55,6111255,33.69295581,73.04839621,1,1,61112551,UC No.52 G-8/1
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.53 G-9/4,UC No.53 G-9/4,2,56,6111256,33.68717419,73.03879074,1,1,61112561,UC No.53 G-9/4
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.54 G-9/3,UC No.54 G-9/3,2,57,6111257,33.69208288,73.03774433,1,1,61112571,UC No.54 G-9/3
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.55 G-9/1,UC No.55 G-9/1,2,58,6111258,33.68607100,73.03154600,4,4,61112584,G9/1
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.55 G-9/1,UC No.55 G-9/1,2,58,6111258,33.68607100,73.03154600,4,3,61112583,G9/2
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.55 G-9/1,UC No.55 G-9/1,2,58,6111258,33.68607100,73.03154600,4,2,61112582,G9/3
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.55 G-9/1,UC No.55 G-9/1,2,58,6111258,33.68607100,73.03154600,4,1,61112581,G9/4
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.56 G-9/2,UC No.56 G-9/2,2,59,6111259,33.68952268,73.02773636,1,1,61112591,UC No.56 G-9/2
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC N0. 12 Bhimber Tarar,UC N0. 12 Bhimber Tarar,2,60,6111260,33.68952268,73.02773636,1,1,61112601,UC N0. 12 Bhimber Tarar
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.58 G-10/4,UC No.58 G-10/4,2,61,6111261,33.67848211,73.02287969,1,1,61112611,UC No.58 G-10/4
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.59 G-10/3,UC No.59 G-10/3,2,62,6111262,33.68516692,73.01982246,1,1,61112621,UC No.59 G-10/3
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.6 Kot Hathial(north-II),UC No.6 Kot Hathial(north-II),2,63,6111263,33.74692894,73.17716195,1,1,61112631,UC No.6 Kot Hathial(north-II)
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.60 G-10/2,UC No.60 G-10/2,2,64,6111264,33.68078261,73.01322014,1,1,61112641,UC No.60 G-10/2
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.61 G-11/2&3,UC No.61 G-11/2&3,2,65,6111265,33.6728524,72.99357579,1,1,61112651,UC No.61 G-11/2&3
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.62 G-11/1&4,UC No.62 G-11/1&4,2,66,6111266,33.66486731,72.99595002,1,1,61112661,UC No.62 G-11/1&4
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,"UC No.64 I-8 & H,Sector","UC No.64 I-8 & H,Sector",2,67,6111267,33.66147590,73.06606030,5,5,61112675,I8/1
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,"UC No.64 I-8 & H,Sector","UC No.64 I-8 & H,Sector",2,67,6111267,33.66147590,73.06606030,5,4,61112674,I8/2
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,"UC No.64 I-8 & H,Sector","UC No.64 I-8 & H,Sector",2,67,6111267,33.66147590,73.06606030,5,3,61112673,I8/3
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,"UC No.64 I-8 & H,Sector","UC No.64 I-8 & H,Sector",2,67,6111267,33.66147590,73.06606030,5,2,61112672,I8/4
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,"UC No.64 I-8 & H,Sector","UC No.64 I-8 & H,Sector",2,67,6111267,33.66147590,73.06606030,5,1,61112671,I8 MARKAZ
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.66 I-9/1 & H-9,UC No.66 I-9/1 & H-9,2,68,6111268,33.66888740,73.03615640,2,2,61112682,H9/1
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.66 I-9/1 & H-9,UC No.66 I-9/1 & H-9,2,68,6111268,33.66888740,73.03615640,2,1,61112681,H9/2
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.66 I-9/1 & H-9,UC No.66 I-9/1 & H-9,2,68,6111268,33.65716600,73.05661840,4,4,61112684,I9/1
